Frequency (Hz)	Level (dB)
1375.000000	-72.631966
1390.625000	-72.632797
1406.250000	-72.204765
1421.875000	-72.279579
1437.500000	-72.562393
1453.125000	-72.806931
1468.750000	-72.542381
1484.375000	-72.268188
1500.000000	-72.715172
1515.625000	-72.814758
1531.250000	-72.464745
1546.875000	-71.909843
1562.500000	-72.403931
1578.125000	-73.062508
1593.750000	-73.291466
1609.375000	-73.244743
1625.000000	-73.148064
1640.625000	-72.845131
1656.250000	-73.090431
1671.875000	-72.810959
1687.500000	-72.944313
1703.125000	-72.910744
1718.750000	-72.864914
1734.375000	-73.131546
1750.000000	-73.030090
1765.625000	-73.352280
1781.250000	-73.584747
1796.875000	-73.157417
1812.500000	-73.636475
1828.125000	-74.118668
1843.750000	-73.676666
1859.375000	-73.411079
1875.000000	-73.618576
1890.625000	-74.315826
1906.250000	-74.120056
1921.875000	-74.130928
1937.500000	-73.933243
1953.125000	-74.642822
1968.750000	-74.369492
1984.375000	-74.252602
2000.000000	-74.358902
2015.625000	-74.207222
2031.250000	-74.298996
2046.875000	-74.060799
2062.500000	-73.792412
2078.125000	-74.050133
2093.750000	-74.039635
2109.375000	-74.041855
2125.000000	-74.115219
2140.625000	-74.847656
2156.250000	-74.686340
2171.875000	-74.581741
2187.500000	-74.228249
2203.125000	-74.303665
2218.750000	-74.637009
2234.375000	-74.722488
2250.000000	-74.445221
2265.625000	-74.513634
2281.250000	-74.448830
2296.875000	-74.597122
2312.500000	-74.572174
2328.125000	-74.890770
2343.750000	-74.975029
2359.375000	-75.144173
2375.000000	-74.837029
2390.625000	-74.355705
2406.250000	-74.298416
2421.875000	-74.649582
2437.500000	-74.740067
2453.125000	-74.853447
2468.750000	-74.881332
2484.375000	-75.006615
2500.000000	-75.082695
2515.625000	-75.185669
2531.250000	-75.050499
2546.875000	-74.912300
2562.500000	-75.113022
2578.125000	-75.161469
2593.750000	-75.226845
2609.375000	-75.230255
2625.000000	-75.091347
2640.625000	-75.274406
2656.250000	-75.364693
2671.875000	-74.998703
2687.500000	-75.052757
2703.125000	-75.385391
2718.750000	-75.260696
2734.375000	-75.429840
2750.000000	-75.483894
2765.625000	-75.184135
2781.250000	-75.219978
2796.875000	-75.209732
2812.500000	-75.161011
2828.125000	-75.050797
2843.750000	-75.275642
2859.375000	-75.757233
2875.000000	-75.714371
2890.625000	-75.270157
2906.250000	-75.193108
2921.875000	-75.362442
2937.500000	-75.816307
2953.125000	-75.986397
2968.750000	-75.999733
2984.375000	-75.604446
3000.000000	-75.553261
3015.625000	-75.721878
3031.250000	-75.593163
3046.875000	-75.532845
3062.500000	-75.469231
3078.125000	-75.457443
3093.750000	-75.551582
3109.375000	-75.569214
3125.000000	-75.385506
3140.625000	-75.114006
3156.250000	-75.262596
3171.875000	-75.855904
3187.500000	-76.002670
3203.125000	-75.501587
3218.750000	-75.492508
3234.375000	-75.755669
3250.000000	-75.685707
3265.625000	-75.851898
3281.250000	-75.688972
3296.875000	-75.959251
3312.500000	-76.196335
3328.125000	-75.857368
3343.750000	-75.488205
3359.375000	-75.865540
3375.000000	-75.606796
3390.625000	-75.909798
3406.250000	-75.731094
3421.875000	-75.914612
3437.500000	-75.657196
3453.125000	-75.644814
3468.750000	-75.981522
3484.375000	-75.931999
3500.000000	-75.401337
3515.625000	-75.924957
3531.250000	-75.989128
3546.875000	-75.745216
3562.500000	-75.875732
3578.125000	-75.813965
3593.750000	-75.398567
3609.375000	-75.380760
3625.000000	-75.663612
3640.625000	-75.689621
3656.250000	-75.803688
3671.875000	-75.526657
3687.500000	-75.647141
3703.125000	-75.960571
3718.750000	-75.989174
3734.375000	-75.727592
3750.000000	-75.533745
3765.625000	-75.894104
3781.250000	-75.990387
3796.875000	-76.229462
3812.500000	-76.255424
3828.125000	-76.269714
3843.750000	-76.166855
3859.375000	-75.959816
3875.000000	-75.991554
3890.625000	-75.751266
3906.250000	-75.829605
3921.875000	-76.031815
3937.500000	-76.548126
3953.125000	-76.539009
3968.750000	-76.323158
3984.375000	-75.979393
